collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3665015,2017-05-07 13:05:00,,,40.608643,-74.16051,,,45        GREENTREE LANE,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3661822,2017-05-01 10:40:00,,,,,DAHILL ROAD,FORT HAMILTON PARKWAY,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unsafe Lane Changing' 'Unspecified']
3660475,2017-04-29 05:30:00,,,40.712696,-73.900604,METROPOLITAN AVENUE,,,1,0,1,0,0,0,0,0,0,0,0,0,0,[]
3651323,2017-04-15 18:30:00,,,,,GRAND CENTRAL PARKWAY,168 STREET,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Driver Inattention/Distraction' 'Unspecified']
3654894,2017-04-20 17:30:00,BROOKLYN,11203,40.64916,-73.94552,EAST 34 STREET,SNYDER AVENUE,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3658973,2017-04-26 16:45:00,BROOKLYN,11218,40.64711,-73.972534,EAST 8 STREET,FRIEL PLACE,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3652624,2017-04-17 11:45:00,QUEENS,11368,40.736214,-73.85795,,,99-25     HORACE HARDING EXPRESSWAY,0,0,0,0,0,0,0,0,0,0,0,2,2,['Driver Inattention/Distraction' 'Unspecified']
4024931,2017-09-11 08:11:00,BRONX,10452,40.838715,-73.91998,WEST CLARKE PLACE,INWOOD AVENUE,,0,0,0,0,0,0,0,0,0,0,0,0,0,[]
4251539,2019-12-03 08:50:00,QUEENS,11423,40.70722,-73.767525,,,103-03    FARMERS BOULEVARD,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3655342,2017-04-21 17:19:00,,,40.801125,-73.92988,FDR DRIVE,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Following Too Closely' 'Unspecified']
3653927,2017-04-19 09:40:00,BRONX,10457,40.847614,-73.887794,EAST 180 STREET,CLINTON AVENUE,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Turning Improperly' 'Unspecified']
3653084,2017-04-17 16:30:00,MANHATTAN,10004,40.705162,-74.00985,,,60        BEAVER STREET,0,0,0,0,0,0,0,0,0,0,2,0,2,['Oversized Vehicle' 'Passing Too Closely']
3660342,2017-04-30 15:15:00,,,40.553913,-74.17578,ANNADALE ROAD,,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction' 'Unspecified']
3664100,2017-05-06 12:00:00,QUEENS,11365,40.730053,-73.79353,UTOPIA PARKWAY,73 AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Failure to Yield Right-of-Way' 'Unspecified']
3651896,2017-04-14 15:50:00,QUEENS,11433,40.69838,-73.78075,,,109-15    174 STREET,1,0,0,0,0,0,1,0,0,2,0,0,2,['Reaction to Uninvolved Vehicle' 'Unspecified']
3655261,2017-04-21 18:00:00,QUEENS,11435,40.714283,-73.8102,150 STREET,HOOVER AVENUE,,1,0,0,0,1,0,0,0,1,1,0,0,2,['Unspecified']
3662264,2017-05-02 20:25:00,QUEENS,11420,40.67302,-73.824,115 STREET,133 AVENUE,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Failure to Yield Right-of-Way' 'Unspecified']
3664850,2017-05-05 13:00:00,BRONX,10463,40.88566,-73.90999,WEST 235 STREET,JOHNSON AVENUE,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3665996,2017-05-08 17:00:00,,,,,NORTHERN BOULEVARD,CLEARVIEW EXPRESSWAY,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction']
3666962,2017-05-09 14:00:00,,,,,SHORE PARKWAY,HOMECREST AVENUE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unspecified']
3653525,2017-04-17 13:30:00,MANHATTAN,10001,40.75458,-73.99915,WEST 34 STREET,10 AVENUE,,1,0,0,0,0,0,1,0,0,2,0,0,2,['Unsafe Lane Changing' 'Unspecified']
3652412,2017-04-16 22:45:00,,,,,BRUCKNER BOULEVARD,HUTCHINSON RIVER PARKWAY,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Reaction to Uninvolved Vehicle' 'Unspecified']
