tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
160554,2015-08-19,509334,9,0,1,2.0,Norway maple,1.0,None,1.0,Volunteer,"Stones,BranchLights",1,0,0,0,0,0,1,0,0,199 KEARNEY AVENUE,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2011800,40.817399850550274,-73.8116112374934,0,0
153902,2015-08-17,217940,3,0,1,2.0,sawtooth oak,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,225 GRAND STREET,11211,Brooklyn,301,3,Brooklyn,34,50,18,BK73,North Side-South Side,3051900,40.71403749867748,-73.95955864147093,0,0
174141,2015-08-25,105814,4,0,1,2.0,Norway maple,1.0,Helpful,0.0,Volunteer,TrunkLights,0,0,0,0,1,0,0,0,0,889 1 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009800,40.7537632313701,-73.96638945795036,0,0
185573,2015-08-29,505333,3,0,1,2.0,Norway maple,1.0,Helpful,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,664 GROTE STREET,10457,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2039100,40.851029339555076,-73.88707942079546,0,0
180861,2015-08-27,343244,13,0,1,2.0,Norway maple,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,49-024 97 STREET,11368,Corona,404,4,Queens,21,39,13,QN25,Corona,4041100,40.74209537603645,-73.8661268057186,0,0
187411,2015-08-29,343040,11,0,1,0.0,Norway maple,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,50-062 96 STREET,11368,Corona,404,4,Queens,21,39,13,QN25,Corona,4044302,40.74006321781235,-73.86634202263245,0,0
198330,2015-09-02,310785,4,0,1,2.0,swamp white oak,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,57-051 163 STREET,11365,Fresh Meadows,407,4,Queens,20,25,11,QN62,Queensboro Hill,4121500,40.74044911054589,-73.80519150146446,0,0
176116,2015-08-26,230587,5,0,1,2.0,swamp white oak,0.0,None,1.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,543 EAST 22 STREET,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3051601,40.63894718378938,-73.95683061716171,0,0
196483,2015-09-02,210467,38,0,0,2.0,scarlet oak,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2112 STUART STREET,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3066600,40.60366050245092,-73.93572857906759,0,0
196497,2015-09-02,210467,23,0,0,2.0,scarlet oak,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2044 STUART STREET,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3066600,40.604701433062395,-73.93688875216881,0,0
